employee_id	name	dept_cd	job_cd	role_name
304	user304	01020199	08	normal
305	user305	01020100	09	normal
314	user314	01020199	99	vice
315	user315	01020100	01	normal
316	user316	01020101	02	normal
317	user317	01020110	03	normal
319	user319	01020199	05	normal
320	user320	01020100	06	normal
321	user321	01020101	07	normal
322	user322	01020110	08	normal
323	user323	01020150	09	normal
332	user332	01020110	99	vice
333	user333	01020150	01	normal
334	user334	01020199	02	normal
335	user335	01020100	03	normal
337	user337	01020110	05	normal
338	user338	01020150	06	normal
339	user339	01020199	07	normal
340	user340	01020100	08	normal
341	user341	01020101	09	normal
350	user350	01020100	99	vice
351	user351	01020101	01	normal
352	user352	01020110	02	normal
353	user353	01020150	03	normal
355	user355	01020100	05	normal
356	user356	01020101	06	normal
357	user357	01020110	07	normal
358	user358	01020150	08	normal
359	user359	01020199	09	normal
368	user368	01020150	99	vice
369	user369	01020199	01	normal
370	user370	01020100	02	normal
371	user371	01020101	03	normal
373	user373	01020150	05	normal
374	user374	01020199	06	normal
375	user375	01020100	07	normal
376	user376	01020101	08	normal
377	user377	01020110	09	normal
386	user386	01020101	99	vice
387	user387	01020110	01	normal
388	user388	01020150	02	normal
389	user389	01020199	03	normal
391	user391	01020101	05	normal
392	user392	01020110	06	normal
393	user393	01020150	07	normal
394	user394	01020199	08	normal
395	user395	01020100	09	normal
404	user404	01020199	99	vice
405	user405	01020100	01	normal
406	user406	01020101	02	normal
407	user407	01020110	03	normal
409	user409	01020199	05	normal
410	user410	01020100	06	normal
411	user411	01020101	07	normal
412	user412	01020110	08	normal
413	user413	01020150	09	normal
422	user422	01020110	99	vice
423	user423	01020150	01	normal
424	user424	01020199	02	normal
425	user425	01020100	03	normal
427	user427	01020110	05	normal
428	user428	01020150	06	normal
429	user429	01020199	07	normal
430	user430	01020100	08	normal
431	user431	01020101	09	normal
440	user440	01020100	99	vice
441	user441	01020101	01	normal
442	user442	01020110	02	normal
443	user443	01020150	03	normal
445	user445	01020100	05	normal
446	user446	01020101	06	normal
447	user447	01020110	07	normal
448	user448	01020150	08	normal
449	user449	01020199	09	normal
458	user458	01020150	99	vice
459	user459	01020199	01	normal
460	user460	01020100	02	normal
461	user461	01020101	03	normal
463	user463	01020150	05	normal
464	user464	01020199	06	normal
465	user465	01020100	07	normal
466	user466	01020101	08	normal
467	user467	01020110	09	normal
476	user476	01020101	99	vice
477	user477	01020110	01	normal
478	user478	01020150	02	normal
479	user479	01020199	03	normal
481	user481	01020101	05	normal
482	user482	01020110	06	normal
483	user483	01020150	07	normal
484	user484	01020199	08	normal
485	user485	01020100	09	normal
494	user494	01020199	99	vice
495	user495	01020100	01	normal
496	user496	01020101	02	normal
497	user497	01020110	03	normal
499	user499	01020199	05	normal
500	user500	01020100	06	normal
501	user501	01020101	07	normal
502	user502	01020110	08	normal
503	user503	01020150	09	normal
512	user512	01020110	99	vice
513	user513	01020150	01	normal
514	user514	01020199	02	normal
515	user515	01020100	03	normal
517	user517	01020110	05	normal
518	user518	01020150	06	normal
519	user519	01020199	07	normal
520	user520	01020100	08	normal
521	user521	01020101	09	normal
530	user530	01020100	99	vice
531	user531	01020101	01	normal
532	user532	01020110	02	normal
533	user533	01020150	03	normal
535	user535	01020100	05	normal
536	user536	01020101	06	normal
537	user537	01020110	07	normal
538	user538	01020150	08	normal
539	user539	01020199	09	normal
548	user548	01020150	99	vice
549	user549	01020199	01	normal
550	user550	01020100	02	normal
551	user551	01020101	03	normal
553	user553	01020150	05	normal
554	user554	01020199	06	normal
555	user555	01020100	07	normal
556	user556	01020101	08	normal
557	user557	01020110	09	normal
566	user566	01020101	99	vice
567	user567	01020110	01	normal
568	user568	01020150	02	normal
569	user569	01020199	03	normal
571	user571	01020101	05	normal
572	user572	01020110	06	normal
573	user573	01020150	07	normal
574	user574	01020199	08	normal
575	user575	01020100	09	normal
584	user584	01020199	99	vice
585	user585	01020100	01	normal
586	user586	01020101	02	normal
587	user587	01020110	03	normal
589	user589	01020199	05	normal
590	user590	01020100	06	normal
591	user591	01020101	07	normal
592	user592	01020110	08	normal
593	user593	01020150	09	normal
602	user602	01020110	99	vice
603	user603	01020150	01	normal
604	user604	01020199	02	normal
605	user605	01020100	03	normal
607	user607	01020110	05	normal
608	user608	01020150	06	normal
609	user609	01020199	07	normal
610	user610	01020100	08	normal
611	user611	01020101	09	normal
620	user620	01020100	99	vice
621	user621	01020101	01	normal
622	user622	01020110	02	normal
623	user623	01020150	03	normal
625	user625	01020100	05	normal
626	user626	01020101	06	normal
627	user627	01020110	07	normal
628	user628	01020150	08	normal
629	user629	01020199	09	normal
638	user638	01020150	99	vice
639	user639	01020199	01	normal
640	user640	01020100	02	normal
641	user641	01020101	03	normal
643	user643	01020150	05	normal
644	user644	01020199	06	normal
645	user645	01020100	07	normal
646	user646	01020101	08	normal
647	user647	01020110	09	normal
656	user656	01020101	99	vice
657	user657	01020110	01	normal
658	user658	01020150	02	normal
659	user659	01020199	03	normal
661	user661	01020101	05	normal
662	user662	01020110	06	normal
663	user663	01020150	07	normal
664	user664	01020199	08	normal
665	user665	01020100	09	normal
674	user674	01020199	99	vice
675	user675	01020100	01	normal
676	user676	01020101	02	normal
677	user677	01020110	03	normal
679	user679	01020199	05	normal
680	user680	01020100	06	normal
681	user681	01020101	07	normal
682	user682	01020110	08	normal
683	user683	01020150	09	normal
692	user692	01020110	99	vice
693	user693	01020150	01	normal
694	user694	01020199	02	normal
695	user695	01020100	03	normal
697	user697	01020110	05	normal
698	user698	01020150	06	normal
699	user699	01020199	07	normal
700	user700	01020100	08	normal
701	user701	01020101	09	normal
710	user710	01020100	99	vice
711	user711	01020101	01	normal
712	user712	01020110	02	normal
713	user713	01020150	03	normal
715	user715	01020100	05	normal
716	user716	01020101	06	normal
717	user717	01020110	07	normal
718	user718	01020150	08	normal
719	user719	01020199	09	normal
728	user728	01020150	99	vice
729	user729	01020199	01	normal
730	user730	01020100	02	normal
731	user731	01020101	03	normal
733	user733	01020150	05	normal
734	user734	01020199	06	normal
735	user735	01020100	07	normal
736	user736	01020101	08	normal
737	user737	01020110	09	normal
746	user746	01020101	99	vice
747	user747	01020110	01	normal
748	user748	01020150	02	normal
749	user749	01020199	03	normal
751	user751	01020101	05	normal
752	user752	01020110	06	normal
753	user753	01020150	07	normal
754	user754	01020199	08	normal
755	user755	01020100	09	normal
764	user764	01020199	99	vice
765	user765	01020100	01	normal
766	user766	01020101	02	normal
767	user767	01020110	03	normal
769	user769	01020199	05	normal
770	user770	01020100	06	normal
771	user771	01020101	07	normal
772	user772	01020110	08	normal
773	user773	01020150	09	normal
782	user782	01020110	99	vice
783	user783	01020150	01	normal
784	user784	01020199	02	normal
785	user785	01020100	03	normal
787	user787	01020110	05	normal
788	user788	01020150	06	normal
789	user789	01020199	07	normal
790	user790	01020100	08	normal
791	user791	01020101	09	normal
800	user800	01020100	99	vice
801	user801	01020101	01	normal
802	user802	01020110	02	normal
803	user803	01020150	03	normal
805	user805	01020100	05	normal
806	user806	01020101	06	normal
807	user807	01020110	07	normal
808	user808	01020150	08	normal
809	user809	01020199	09	normal
818	user818	01020150	99	vice
819	user819	01020199	01	normal
820	user820	01020100	02	normal
821	user821	01020101	03	normal
823	user823	01020150	05	normal
824	user824	01020199	06	normal
825	user825	01020100	07	normal
826	user826	01020101	08	normal
827	user827	01020110	09	normal
836	user836	01020101	99	vice
837	user837	01020110	01	normal
838	user838	01020150	02	normal
839	user839	01020199	03	normal
841	user841	01020101	05	normal
842	user842	01020110	06	normal
843	user843	01020150	07	normal
844	user844	01020199	08	normal
845	user845	01020100	09	normal
854	user854	01020199	99	vice
855	user855	01020100	01	normal
856	user856	01020101	02	normal
857	user857	01020110	03	normal
859	user859	01020199	05	normal
860	user860	01020100	06	normal
861	user861	01020101	07	normal
862	user862	01020110	08	normal
863	user863	01020150	09	normal
872	user872	01020110	99	vice
873	user873	01020150	01	normal
874	user874	01020199	02	normal
875	user875	01020100	03	normal
877	user877	01020110	05	normal
878	user878	01020150	06	normal
879	user879	01020199	07	normal
880	user880	01020100	08	normal
881	user881	01020101	09	normal
890	user890	01020100	99	vice
891	user891	01020101	01	normal
892	user892	01020110	02	normal
893	user893	01020150	03	normal
895	user895	01020100	05	normal
896	user896	01020101	06	normal
897	user897	01020110	07	normal
898	user898	01020150	08	normal
899	user899	01020199	09	normal
908	user908	01020150	99	vice
909	user909	01020199	01	normal
910	user910	01020100	02	normal
911	user911	01020101	03	normal
913	user913	01020150	05	normal
914	user914	01020199	06	normal
915	user915	01020100	07	normal
916	user916	01020101	08	normal
917	user917	01020110	09	normal
926	user926	01020101	99	vice
927	user927	01020110	01	normal
928	user928	01020150	02	normal
929	user929	01020199	03	normal
931	user931	01020101	05	normal
932	user932	01020110	06	normal
933	user933	01020150	07	normal
934	user934	01020199	08	normal
935	user935	01020100	09	normal
944	user944	01020199	99	vice
945	user945	01020100	01	normal
946	user946	01020101	02	normal
947	user947	01020110	03	normal
949	user949	01020199	05	normal
950	user950	01020100	06	normal
951	user951	01020101	07	normal
952	user952	01020110	08	normal
953	user953	01020150	09	normal
962	user962	01020110	99	vice
963	user963	01020150	01	normal
964	user964	01020199	02	normal
965	user965	01020100	03	normal
967	user967	01020110	05	normal
968	user968	01020150	06	normal
969	user969	01020199	07	normal
970	user970	01020100	08	normal
971	user971	01020101	09	normal
980	user980	01020100	99	vice
981	user981	01020101	01	normal
982	user982	01020110	02	normal
983	user983	01020150	03	normal
985	user985	01020100	05	normal
986	user986	01020101	06	normal
987	user987	01020110	07	normal
988	user988	01020150	08	normal
989	user989	01020199	09	normal
998	user998	01020150	99	vice
999	user999	01020199	01	normal
1000	user1000	01020100	02	normal
1001	user1001	01020101	03	normal
1003	user1003	01020150	05	normal
1004	user1004	01020199	06	normal
1005	user1005	01020100	07	normal
1006	user1006	01020101	08	normal
1007	user1007	01020110	09	normal
1016	user1016	01020101	99	vice
1017	user1017	01020110	01	normal
1018	user1018	01020150	02	normal
1019	user1019	01020199	03	normal
1021	user1021	01020101	05	normal
1022	user1022	01020110	06	normal
1023	user1023	01020150	07	normal
1024	user1024	01020199	08	normal
1025	user1025	01020100	09	normal
1034	user1034	01020199	99	vice
1035	user1035	01020100	01	normal
1036	user1036	01020101	02	normal
1037	user1037	01020110	03	normal
1039	user1039	01020199	05	normal
1040	user1040	01020100	06	normal
1041	user1041	01020101	07	normal
1042	user1042	01020110	08	normal
1043	user1043	01020150	09	normal
1052	user1052	01020110	99	vice
1053	user1053	01020150	01	normal
1054	user1054	01020199	02	normal
1055	user1055	01020100	03	normal
1057	user1057	01020110	05	normal
1058	user1058	01020150	06	normal
1059	user1059	01020199	07	normal
1060	user1060	01020100	08	normal
1061	user1061	01020101	09	normal
1070	user1070	01020100	99	vice
1071	user1071	01020101	01	normal
1072	user1072	01020110	02	normal
1073	user1073	01020150	03	normal
1075	user1075	01020100	05	normal
1076	user1076	01020101	06	normal
1077	user1077	01020110	07	normal
1078	user1078	01020150	08	normal
1079	user1079	01020199	09	normal
1088	user1088	01020150	99	vice
1089	user1089	01020199	01	normal
1090	user1090	01020100	02	normal
1091	user1091	01020101	03	normal
1093	user1093	01020150	05	normal
1094	user1094	01020199	06	normal
1095	user1095	01020100	07	normal
1096	user1096	01020101	08	normal
1097	user1097	01020110	09	normal
1106	user1106	01020101	99	vice
1107	user1107	01020110	01	normal
1108	user1108	01020150	02	normal
1109	user1109	01020199	03	normal
1111	user1111	01020101	05	normal
1112	user1112	01020110	06	normal
1113	user1113	01020150	07	normal
1114	user1114	01020199	08	normal
1115	user1115	01020100	09	normal
1124	user1124	01020199	99	vice
1125	user1125	01020100	01	normal
1126	user1126	01020101	02	normal
1127	user1127	01020110	03	normal
1129	user1129	01020199	05	normal
1130	user1130	01020100	06	normal
1131	user1131	01020101	07	normal
1132	user1132	01020110	08	normal
1133	user1133	01020150	09	normal
1142	user1142	01020110	99	vice
1143	user1143	01020150	01	normal
1144	user1144	01020199	02	normal
1145	user1145	01020100	03	normal
1147	user1147	01020110	05	normal
1148	user1148	01020150	06	normal
1149	user1149	01020199	07	normal
1150	user1150	01020100	08	normal
1151	user1151	01020101	09	normal
1160	user1160	01020100	99	vice
1161	user1161	01020101	01	normal
1162	user1162	01020110	02	normal
1163	user1163	01020150	03	normal
1165	user1165	01020100	05	normal
1166	user1166	01020101	06	normal
1167	user1167	01020110	07	normal
1168	user1168	01020150	08	normal
1169	user1169	01020199	09	normal
1178	user1178	01020150	99	vice
1179	user1179	01020199	01	normal
1180	user1180	01020100	02	normal
1181	user1181	01020101	03	normal
1183	user1183	01020150	05	normal
1184	user1184	01020199	06	normal
1185	user1185	01020100	07	normal
1186	user1186	01020101	08	normal
1187	user1187	01020110	09	normal
1196	user1196	01020101	99	vice
1197	user1197	01020110	01	normal
1198	user1198	01020150	02	normal
1199	user1199	01020199	03	normal
1201	user1201	01020101	05	normal
1202	user1202	01020110	06	normal
1203	user1203	01020150	07	normal
1204	user1204	01020199	08	normal
1205	user1205	01020100	09	normal
1214	user1214	01020199	99	vice
1215	user1215	01020100	01	normal
1216	user1216	01020101	02	normal
1217	user1217	01020110	03	normal
1219	user1219	01020199	05	normal
1220	user1220	01020100	06	normal
1221	user1221	01020101	07	normal
1222	user1222	01020110	08	normal
1223	user1223	01020150	09	normal
1232	user1232	01020110	99	vice
1233	user1233	01020150	01	normal
1234	user1234	01020199	02	normal
1235	user1235	01020100	03	normal
1237	user1237	01020110	05	normal
1238	user1238	01020150	06	normal
1239	user1239	01020199	07	normal
1240	user1240	01020100	08	normal
1241	user1241	01020101	09	normal
1250	user1250	01020100	99	vice
1251	user1251	01020101	01	normal
1252	user1252	01020110	02	normal
1253	user1253	01020150	03	normal
1255	user1255	01020100	05	normal
1256	user1256	01020101	06	normal
1257	user1257	01020110	07	normal
1258	user1258	01020150	08	normal
1259	user1259	01020199	09	normal
1268	user1268	01020150	99	vice
1269	user1269	01020199	01	normal
1270	user1270	01020100	02	normal
1271	user1271	01020101	03	normal
1273	user1273	01020150	05	normal
1274	user1274	01020199	06	normal
1275	user1275	01020100	07	normal
1276	user1276	01020101	08	normal
1277	user1277	01020110	09	normal
1286	user1286	01020101	99	vice
1287	user1287	01020110	01	normal
1288	user1288	01020150	02	normal
1289	user1289	01020199	03	normal
1291	user1291	01020101	05	normal
1292	user1292	01020110	06	normal
1293	user1293	01020150	07	normal
1294	user1294	01020199	08	normal
1295	user1295	01020100	09	normal
1304	user1304	01020199	99	vice
1305	user1305	01020100	01	normal
1306	user1306	01020101	02	normal
1307	user1307	01020110	03	normal
1309	user1309	01020199	05	normal
1310	user1310	01020100	06	normal
1311	user1311	01020101	07	normal
1312	user1312	01020110	08	normal
1313	user1313	01020150	09	normal
1322	user1322	01020110	99	vice
1323	user1323	01020150	01	normal
1324	user1324	01020199	02	normal
1325	user1325	01020100	03	normal
1327	user1327	01020110	05	normal
1328	user1328	01020150	06	normal
1329	user1329	01020199	07	normal
1330	user1330	01020100	08	normal
1331	user1331	01020101	09	normal
1340	user1340	01020100	99	vice
1341	user1341	01020101	01	normal
1342	user1342	01020110	02	normal
1343	user1343	01020150	03	normal
1345	user1345	01020100	05	normal
1346	user1346	01020101	06	normal
1347	user1347	01020110	07	normal
1348	user1348	01020150	08	normal
1349	user1349	01020199	09	normal
1358	user1358	01020150	99	vice
1359	user1359	01020199	01	normal
1360	user1360	01020100	02	normal
1361	user1361	01020101	03	normal
1363	user1363	01020150	05	normal
1364	user1364	01020199	06	normal
1365	user1365	01020100	07	normal
1366	user1366	01020101	08	normal
1367	user1367	01020110	09	normal
1376	user1376	01020101	99	vice
1377	user1377	01020110	01	normal
1378	user1378	01020150	02	normal
1379	user1379	01020199	03	normal
1381	user1381	01020101	05	normal
1382	user1382	01020110	06	normal
1383	user1383	01020150	07	normal
1384	user1384	01020199	08	normal
1385	user1385	01020100	09	normal
1394	user1394	01020199	99	vice
1395	user1395	01020100	01	normal
1396	user1396	01020101	02	normal
1397	user1397	01020110	03	normal
1399	user1399	01020199	05	normal
1400	user1400	01020100	06	normal
1401	user1401	01020101	07	normal
1402	user1402	01020110	08	normal
1403	user1403	01020150	09	normal
1412	user1412	01020110	99	vice
1413	user1413	01020150	01	normal
1414	user1414	01020199	02	normal
1415	user1415	01020100	03	normal
1417	user1417	01020110	05	normal
1418	user1418	01020150	06	normal
1419	user1419	01020199	07	normal
1420	user1420	01020100	08	normal
1421	user1421	01020101	09	normal
1430	user1430	01020100	99	vice
1431	user1431	01020101	01	normal
1432	user1432	01020110	02	normal
1433	user1433	01020150	03	normal
1435	user1435	01020100	05	normal
1436	user1436	01020101	06	normal
1437	user1437	01020110	07	normal
1438	user1438	01020150	08	normal
1439	user1439	01020199	09	normal
1448	user1448	01020150	99	vice
1449	user1449	01020199	01	normal
1450	user1450	01020100	02	normal
1451	user1451	01020101	03	normal
1453	user1453	01020150	05	normal
1454	user1454	01020199	06	normal
1455	user1455	01020100	07	normal
1456	user1456	01020101	08	normal
1457	user1457	01020110	09	normal
1466	user1466	01020101	99	vice
1467	user1467	01020110	01	normal
1468	user1468	01020150	02	normal
1469	user1469	01020199	03	normal
1471	user1471	01020101	05	normal
1472	user1472	01020110	06	normal
1473	user1473	01020150	07	normal
1474	user1474	01020199	08	normal
1475	user1475	01020100	09	normal
1484	user1484	01020199	99	vice
1485	user1485	01020100	01	normal
1486	user1486	01020101	02	normal
1487	user1487	01020110	03	normal
1489	user1489	01020199	05	normal
1490	user1490	01020100	06	normal
1491	user1491	01020101	07	normal
1492	user1492	01020110	08	normal
1493	user1493	01020150	09	normal
1502	user1502	01020110	99	vice
1503	user1503	01020150	01	normal
1504	user1504	01020199	02	normal
1505	user1505	01020100	03	normal
1507	user1507	01020110	05	normal
1508	user1508	01020150	06	normal
1509	user1509	01020199	07	normal
1510	user1510	01020100	08	normal
1511	user1511	01020101	09	normal
1520	user1520	01020100	99	vice
1521	user1521	01020101	01	normal
1522	user1522	01020110	02	normal
1523	user1523	01020150	03	normal
1525	user1525	01020100	05	normal
1526	user1526	01020101	06	normal
1527	user1527	01020110	07	normal
1528	user1528	01020150	08	normal
1529	user1529	01020199	09	normal
1538	user1538	01020150	99	vice
1539	user1539	01020199	01	normal
1540	user1540	01020100	02	normal
1541	user1541	01020101	03	normal
1543	user1543	01020150	05	normal
1544	user1544	01020199	06	normal
1545	user1545	01020100	07	normal
1546	user1546	01020101	08	normal
1547	user1547	01020110	09	normal
1556	user1556	01020101	99	vice
1557	user1557	01020110	01	normal
1558	user1558	01020150	02	normal
1559	user1559	01020199	03	normal
1561	user1561	01020101	05	normal
1562	user1562	01020110	06	normal
1563	user1563	01020150	07	normal
1564	user1564	01020199	08	normal
1565	user1565	01020100	09	normal
1574	user1574	01020199	99	vice
1575	user1575	01020100	01	normal
1576	user1576	01020101	02	normal
1577	user1577	01020110	03	normal
1579	user1579	01020199	05	normal
1580	user1580	01020100	06	normal
1581	user1581	01020101	07	normal
1582	user1582	01020110	08	normal
1583	user1583	01020150	09	normal
1592	user1592	01020110	99	vice
1593	user1593	01020150	01	normal
1594	user1594	01020199	02	normal
1595	user1595	01020100	03	normal
1597	user1597	01020110	05	normal
1598	user1598	01020150	06	normal
1599	user1599	01020199	07	normal
1600	user1600	01020100	08	normal
1601	user1601	01020101	09	normal
1610	user1610	01020100	99	vice
1611	user1611	01020101	01	normal
1612	user1612	01020110	02	normal
1613	user1613	01020150	03	normal
1615	user1615	01020100	05	normal
1616	user1616	01020101	06	normal
1617	user1617	01020110	07	normal
1618	user1618	01020150	08	normal
1619	user1619	01020199	09	normal
1628	user1628	01020150	99	vice
1629	user1629	01020199	01	normal
1630	user1630	01020100	02	normal
1631	user1631	01020101	03	normal
1633	user1633	01020150	05	normal
1634	user1634	01020199	06	normal
1635	user1635	01020100	07	normal
1636	user1636	01020101	08	normal
1637	user1637	01020110	09	normal
1646	user1646	01020101	99	vice
1647	user1647	01020110	01	normal
1648	user1648	01020150	02	normal
1649	user1649	01020199	03	normal
1651	user1651	01020101	05	normal
1652	user1652	01020110	06	normal
1653	user1653	01020150	07	normal
1654	user1654	01020199	08	normal
1655	user1655	01020100	09	normal
1664	user1664	01020199	99	vice
1665	user1665	01020100	01	normal
1666	user1666	01020101	02	normal
1667	user1667	01020110	03	normal
1669	user1669	01020199	05	normal
1670	user1670	01020100	06	normal
1671	user1671	01020101	07	normal
1672	user1672	01020110	08	normal
1673	user1673	01020150	09	normal
1682	user1682	01020110	99	vice
1683	user1683	01020150	01	normal
1684	user1684	01020199	02	normal
1685	user1685	01020100	03	normal
1687	user1687	01020110	05	normal
1688	user1688	01020150	06	normal
1689	user1689	01020199	07	normal
1690	user1690	01020100	08	normal
1691	user1691	01020101	09	normal
1700	user1700	01020100	99	vice
1701	user1701	01020101	01	normal
1702	user1702	01020110	02	normal
1703	user1703	01020150	03	normal
1705	user1705	01020100	05	normal
1706	user1706	01020101	06	normal
1707	user1707	01020110	07	normal
1708	user1708	01020150	08	normal
1709	user1709	01020199	09	normal
1718	user1718	01020150	99	vice
1719	user1719	01020199	01	normal
1720	user1720	01020100	02	normal
1721	user1721	01020101	03	normal
1723	user1723	01020150	05	normal
1724	user1724	01020199	06	normal
1725	user1725	01020100	07	normal
1726	user1726	01020101	08	normal
1727	user1727	01020110	09	normal
1736	user1736	01020101	99	vice
1737	user1737	01020110	01	normal
1738	user1738	01020150	02	normal
1739	user1739	01020199	03	normal
1741	user1741	01020101	05	normal
1742	user1742	01020110	06	normal
1743	user1743	01020150	07	normal
1744	user1744	01020199	08	normal
1745	user1745	01020100	09	normal
1754	user1754	01020199	99	vice
1755	user1755	01020100	01	normal
1756	user1756	01020101	02	normal
1757	user1757	01020110	03	normal
1759	user1759	01020199	05	normal
1760	user1760	01020100	06	normal
1761	user1761	01020101	07	normal
1762	user1762	01020110	08	normal
1763	user1763	01020150	09	normal
1772	user1772	01020110	99	vice
1773	user1773	01020150	01	normal
1774	user1774	01020199	02	normal
1775	user1775	01020100	03	normal
1777	user1777	01020110	05	normal
1778	user1778	01020150	06	normal
1779	user1779	01020199	07	normal
1780	user1780	01020100	08	normal
1781	user1781	01020101	09	normal
1790	user1790	01020100	99	vice
1791	user1791	01020101	01	normal
1792	user1792	01020110	02	normal
1793	user1793	01020150	03	normal
1795	user1795	01020100	05	normal
1796	user1796	01020101	06	normal
1797	user1797	01020110	07	normal
1798	user1798	01020150	08	normal
1799	user1799	01020199	09	normal
1808	user1808	01020150	99	vice
1809	user1809	01020199	01	normal
1810	user1810	01020100	02	normal
1811	user1811	01020101	03	normal
1813	user1813	01020150	05	normal
1814	user1814	01020199	06	normal
1815	user1815	01020100	07	normal
1816	user1816	01020101	08	normal
1817	user1817	01020110	09	normal
1826	user1826	01020101	99	vice
1827	user1827	01020110	01	normal
1828	user1828	01020150	02	normal
1829	user1829	01020199	03	normal
1831	user1831	01020101	05	normal
1832	user1832	01020110	06	normal
1833	user1833	01020150	07	normal
1834	user1834	01020199	08	normal
1835	user1835	01020100	09	normal
1844	user1844	01020199	99	vice
1845	user1845	01020100	01	normal
1846	user1846	01020101	02	normal
1847	user1847	01020110	03	normal
1849	user1849	01020199	05	normal
1850	user1850	01020100	06	normal
1851	user1851	01020101	07	normal
1852	user1852	01020110	08	normal
1853	user1853	01020150	09	normal
1862	user1862	01020110	99	vice
1863	user1863	01020150	01	normal
1864	user1864	01020199	02	normal
1865	user1865	01020100	03	normal
1867	user1867	01020110	05	normal
1868	user1868	01020150	06	normal
1869	user1869	01020199	07	normal
